"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"XXII","22nd Century Group, Inc","0.7663","$106.41M","n/a","Consumer Non-Durables","Farming/Seeds/Milling","https://old.nasdaq.com/symbol/xxii",
"FAX","Aberdeen Asia-Pacific Income Fund Inc","3.43","$849.6M","1986","n/a","n/a","https://old.nasdaq.com/symbol/fax",
"IAF","Aberdeen Australia Equity Fund Inc","3.69","$83.92M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/iaf",
"AEF","Aberdeen Emerging Markets Equity Income Fund, Inc.","5.26","$266.95M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/aef",
"FCO","Aberdeen Global Income Fund, Inc.","5.42","$47.29M","1992","n/a","n/a","https://old.nasdaq.com/symbol/fco",
"ACU","Acme United Corporation.","19.3785","$64.96M","1988","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/acu",
"ATNM","Actinium Pharmaceuticals, Inc.","0.189","$31.13M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/atnm",
"AE","Adams Resources & Energy, Inc.","24.4","$103.35M","n/a","Energy","Oil Refining/Marketing","https://old.nasdaq.com/symbol/ae",
"ACY","AeroCentury Corp.","1.74","$2.69M","n/a","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/acy",
"UAVS","AgEagle Aerial Systems, Inc.","0.34","$5.16M","n/a","Capital Goods","Aerospace","https://old.nasdaq.com/symbol/uavs",
"AGE","AgeX Therapeutics, Inc.","1.12","$42.17M","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/age",
"AIRI","Air Industries Group","1.07","$31.93M","n/a","Capital Goods","Military/Government/Technical","https://old.nasdaq.com/symbol/airi",
"AXU","Alexco Resource Corp","1.435","$172.19M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/axu",
"ALO","Alio Gold Inc.","0.5352","$45.34M","2011","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/alo",
"AAU","Almaden Minerals, Ltd.","0.2814","$31.44M","2015","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/aau",
"APT","Alpha Pro Tech, Ltd.","9.35","$121.4M","n/a","Health Care","Industrial Specialties","https://old.nasdaq.com/symbol/apt",
"AAMC","Altisource Asset Management Corp","13.98","$22.63M","n/a","Finance","Real Estate","https://old.nasdaq.com/symbol/aamc",
"AMBO","Ambow Education Holding Ltd.","1.99","$43.29M","n/a","Consumer Services","Other Consumer Services","https://old.nasdaq.com/symbol/ambo",
"DIT","AMCON Distributing Company","64.8","$36.67M","n/a","Consumer Non-Durables","Food Distributors","https://old.nasdaq.com/symbol/dit",
"AMS","American Shared Hospital Services","1.55","$9.01M","n/a","Health Care","Medical Specialities","https://old.nasdaq.com/symbol/ams",
"USAS","Americas Gold and Silver Corporation","1.7","$148.59M","2017","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/usas",
"AMPE","Ampio Pharmaceuticals, Inc.","0.373","$59.23M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/ampe",
