Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-12-30,11.7,11.78,11.25,11.34,44095368.0,0.0,1.0,11.7,11.78,11.25,11.34,44095368.0
2016-12-29,11.24,11.62,11.01,11.59,50234261.0,0.0,1.0,11.24,11.62,11.01,11.59,50234261.0
2016-12-28,12.28,12.42,11.46,11.55,71254459.0,0.0,1.0,12.28,12.42,11.46,11.55,71254459.0
2016-12-27,11.65,12.08,11.6,12.07,44336488.0,0.0,1.0,11.65,12.08,11.6,12.07,44336488.0
2016-12-23,11.3,11.6,11.26,11.58,32288235.0,0.0,1.0,11.3,11.6,11.26,11.58,32288235.0
2016-12-22,11.65,11.75,11.47,11.6,36450756.0,0.0,1.0,11.65,11.75,11.47,11.6,36450756.0
2016-12-21,11.61,11.72,11.31,11.47,44814131.0,0.0,1.0,11.61,11.72,11.31,11.47,44814131.0
2016-12-20,11.19,11.51,11.15,11.51,59314159.0,0.0,1.0,11.19,11.51,11.15,11.51,59314159.0
2016-12-19,10.81,11.0,10.52,10.95,46085840.0,0.0,1.0,10.81,11.0,10.52,10.95,46085840.0
2016-12-16,10.94,11.23,10.595,10.66,77777741.0,0.0,1.0,10.94,11.23,10.595,10.66,77777741.0
2016-12-15,10.68,10.93,10.64,10.86,48871302.0,0.0,1.0,10.68,10.93,10.64,10.86,48871302.0
2016-12-14,10.43,10.74,10.27,10.55,46968552.0,0.0,1.0,10.43,10.74,10.27,10.55,46968552.0
2016-12-13,10.75,10.8,10.4,10.54,46967790.0,0.0,1.0,10.75,10.8,10.4,10.54,46967790.0
2016-12-12,10.4,10.93,10.38,10.68,63342940.0,0.0,1.0,10.4,10.93,10.38,10.68,63342940.0
2016-12-09,10.38,10.54,9.87,10.34,60600759.0,0.0,1.0,10.38,10.54,9.87,10.34,60600759.0
2016-12-08,9.9,10.66,9.8,10.34,104613009.0,0.0,1.0,9.9,10.66,9.8,10.34,104613009.0
2016-12-07,9.65,9.79,9.24,9.56,54897332.0,0.0,1.0,9.65,9.79,9.24,9.56,54897332.0
2016-12-06,8.95,9.54,8.82,9.45,92242854.0,0.0,1.0,8.95,9.54,8.82,9.45,92242854.0
2016-12-05,8.69,8.71,8.45,8.68,31410058.0,0.0,1.0,8.69,8.71,8.45,8.68,31410058.0
2016-12-02,8.38,8.74,8.38,8.53,42398936.0,0.0,1.0,8.38,8.74,8.38,8.53,42398936.0
2016-12-01,8.92,9.03,8.26,8.39,56682384.0,0.0,1.0,8.92,9.03,8.26,8.39,56682384.0
2016-11-30,9.02,9.12,8.9,8.91,36511914.0,0.0,1.0,9.02,9.12,8.9,8.91,36511914.0
2016-11-29,9.0,9.23,8.85,8.93,54831388.0,0.0,1.0,9.0,9.23,8.85,8.93,54831388.0
2016-11-28,8.72,8.98,8.72,8.83,25907789.0,0.0,1.0,8.72,8.98,8.72,8.83,25907789.0
2016-11-25,8.8,8.91,8.69,8.77,14214120.0,0.0,1.0,8.8,8.91,8.69,8.77,14214120.0
2016-11-23,8.72,8.86,8.5,8.8,34645960.0,0.0,1.0,8.72,8.86,8.5,8.8,34645960.0
2016-11-22,9.05,9.06,8.54,8.69,71312775.0,0.0,1.0,9.05,9.06,8.54,8.69,71312775.0
2016-11-21,8.87,9.22,8.86,8.94,65595921.0,0.0,1.0,8.87,9.22,8.86,8.94,65595921.0
2016-11-18,8.68,8.83,8.4,8.71,62336214.0,0.0,1.0,8.68,8.83,8.4,8.71,62336214.0
2016-11-17,7.79,8.77,7.77,8.46,124235450.0,0.0,1.0,7.79,8.77,7.77,8.46,124235450.0
2016-11-16,7.09,7.75,7.07,7.67,78083174.0,0.0,1.0,7.09,7.75,7.07,7.67,78083174.0
2016-11-15,6.82,7.08,6.79,6.97,28909399.0,0.0,1.0,6.82,7.08,6.79,6.97,28909399.0
2016-11-14,6.83,6.84,6.61,6.79,29596401.0,0.0,1.0,6.83,6.84,6.61,6.79,29596401.0
2016-11-11,6.64,6.69,6.47,6.685,39492150.0,0.0,1.0,6.64,6.69,6.47,6.685,39492150.0
2016-11-10,6.82,6.91,6.22,6.295,71749547.0,0.0,1.0,6.82,6.91,6.22,6.295,71749547.0
2016-11-09,6.7,7.05,6.64,6.94,38479532.0,0.0,1.0,6.7,7.05,6.64,6.94,38479532.0
2016-11-08,6.85,7.18,6.75,7.0,37728535.0,0.0,1.0,6.85,7.18,6.75,7.0,37728535.0
2016-11-07,6.79,6.99,6.76,6.96,36999238.0,0.0,1.0,6.79,6.99,6.76,6.96,36999238.0
2016-11-04,6.69,6.72,6.46,6.56,32215709.0,0.0,1.0,6.69,6.72,6.46,6.56,32215709.0
